Column1,title,link,description
0,"여수시, 전남도 지방세 체납액 줄이기 평가…'최우수상' 영예",http://www.m-i.kr/news/articleView.html?idxno=879039,"시는 지방세 체납액 줄이기 일제기간을 설정 운영해 <b>빅데이터</b>를 활용한 맞춤형 징수, 체납차량 번호판 영치 및 공매처분, 가상화폐 압류 등 체납액 징수활동을 추진해 정리목표액 39억 8300만 원 대비 51억 300만 원을... "
1,<b>빅데이터</b>로 본 최근 '메타버스 코인' 디센트럴랜드(MANA) VS 엑시인피니티(AX...,http://coinreaders.com/15033,"<b>빅데이터</b> 분석 플랫폼 썸트렌드와 함께 알아보자. 디센트럴랜드 vs 엑시인피니티, 언급량 추이는? 11월 22일부터 11월 28일까지 일주일간 디센트럴랜드는 207회, 엑시인피니티는 111회 언급됐다. 디센트럴랜드와... "
2,"대전 중구, 겨울철 위기가구 집중발굴기간 운영",http://www.newsfreezone.co.kr/news/articleView.html?idxno=348061,"이를 위해 구는 단전‧단수‧단가스‧전기료체납, 금융연체 등 취약계층 <b>빅데이터</b> 정보를 통해 대상자를 발굴하고 지원할 계획이다. 또 동 찾아가는 복지담당, 통합사례관리사, 보라미, 자활근로자(희망찾아 줌)... "
3,'2021 대한민국 ICT대상' 성료… 미래 ICT 산업 이끌 우수 기업 9곳 선정,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=018&aid=0005096113,"ICT혁신 신성장 부문 대상은 AI 학습용 데이터 구축을 위한 솔루션으로 디지털 뉴딜의 ‘데이터댐 구축’ 기반을 마련한 ‘㈜비투엔’이 수상했으며, ICT혁신 일자리 부문 대상은 공공 <b>빅데이터</b>, 인공지능 분야 교육과... "
4,"메딕바이오엔케이, 바이오 메타버스 사업 진출…뷰티베이커리와 MOU 체결",http://www.sentv.co.kr/news/view/605867,김민석 메딕바이오엔케이 대표이사는 “코로나19로 촉발된 이동 제한으로 메타버스 시대가 급물살을 타고 있다”며“<b>빅데이터</b>·인공지능·5G 등 첨단 기술을 확장현실 기술과 융합해헬스케어 메타버스 시장을... 
5,"메딕바이오엔케이, 바이오 메타버스 사업 진출…뷰티베이커리와 MOU",https://www.etoday.co.kr/news/view/2082261,김민석 메딕바이오엔케이 대표이사는 “코로나19로 촉발된 이동 제한으로 메타버스 시대가 급물살을 타고 있다”며 “<b>빅데이터</b>•인공지능•5G 등 첨단 기술을 확장현실 기술과 융합해 헬스케어 메타버스 시장을... 
6,카카오모빌리티는 '코로나 시대' 택시·대리 시장을 어떻게 바꿨나,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=293&aid=0000037111,29일 카카오모빌리티가 자사의 모빌리티 앱 '카카오 T' 이용자들의 이동 <b>빅데이터</b>를 분석해 발간한 '카카오모빌리티 리포트 2021'에 따르면 카카오 T 택시 신규 가입 기사의 평균연령은 55.5세로 4년만에 2.6세 낮아졌다.... 
7,"전남도 지방세 체납액 줄이기 평가 '여수시, 최우수상' 영예",http://www.asiaa.co.kr/news/articleView.html?idxno=69302,"시는 지방세 체납액 줄이기 일제기간을 설정 운영해 <b>빅데이터</b>를 활용한 맞춤형 징수, 체납차량 번호판 영치 및 공매처분, 가상화폐 압류 등 체납액 징수활동을 추진해 정리목표액 39억 8300만원 대비 51억 300만원을... "
8,"네이버클라우드, <b>데이터</b> 분석 특화 솔루션 2종 출시",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=629&aid=0000118628,'클라우드 <b>데이터</b> 박스'·'<b>데이터</b> 포레스트' 선봬…&quot;비즈니스 트랜스포메이션 지원&quot; 네이버클라우드가 '클라우드 <b>데이터</b> 박스'와 '<b>데이터</b> 포레스트' 상품을 공식 출시했다고 29일 밝혔다. 이번 <b>데이터</b> 분석 특화 솔루션... 
9,"메딕바이오엔케이, 바이오 메타버스 사업 진출...“뷰티베이커리와 MOU”",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005096105,김민석 메딕바이오엔케이 대표이사는 “코로나19로 촉발된 이동 제한으로 메타버스 시대가 급물살을 타고 있다”며 “<b>빅데이터</b>·인공지능·5G 등 첨단 기술을 확장현실 기술과 융합해 헬스케어 메타버스 시장을... 
10,[인플루언서 프리즘] 미니멀 라이프 시대…'정리왕' 유튜버 인기,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=629&aid=0000118624,IMR은 대한민국에서 가장 영향력 있는 인플루언서들의 데이터를 다양한 관점에서 분석하여 랭킹화 하는... <b>빅데이터</b> 분석 전문가인 이영미 박사(현 보이스오브유 선임연구원)는 &quot;많은 전문가들이 '코로나19가... 
11,"[독자추천종합순위] 영탁 70회째 1위, 2위 방탄소년단 지민에 9,153표 앞서…...",http://www.topstarnews.net/news/articleView.html?idxno=14653481,"독자추천 통계는 <b>빅데이터</b> 가수 브랜드가치 분석에 5배수로 가중 적용된다. 독자추천뉴스 집계에... 유의미한 데이터다. 한편, 글로벌 브랜드 밸류가 가장 높은 트로트 여왕은?이란 질문의 스타서베이에서... "
12,"대전 중구, 겨울철 위기가구 집중발굴기간 운영",http://www.dtnews24.com/news/articleView.html?idxno=715503,"구는 단전‧단수‧단가스‧전기료체납, 금융연체 등 취약계층 <b>빅데이터</b> 정보를 통해 대상자를 발굴하고 지원한다는 계획이다. 또한 동 찾아가는 복지담당, 통합사례관리사, 보라미, 자활근로자(희망찾아 줌)... "
13,항생제 사용하면 당뇨병 발생 위험 높다는데 왜?,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=009&aid=0004885845,"서울대병원 가정의학과 박상민 교수팀(박선재, 박영준 연구원)은 국민건강보험 <b>빅데이터</b>를 활용해 40세... 박상민 교수는 &quot;이번 연구는 국민건강보험공단 건강검진 <b>빅데이터</b>를 활용하고 여러 변수를 고려해 연구의... "
14,"김제시, 스마트팜 청년창업·농생명산업 신성장 동력 창출 앞장",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=002&aid=0002220928,"<b>빅데이터</b>센터(지원센터) 4개 핵심단지로 조성된 첨단농업 융복합 클러스터로서, 스마트팜 청년농업인 양성, R&amp;D연구, ICT기자재 및 신품종 실증 인증, 기술상용화, 판로구축 등 혁신 프로세스를 구축해 <b>빅데이터</b>를... "
15,"한수원, 설비 자동예측진단 기술 상품화 추진",http://www.todayenergy.kr/news/articleView.html?idxno=242719,"한국수력원자력(사장 정재훈)이 세계 최대 규모의 <b>빅데이터</b>·인공지능 기반 설비 자동예측진단시스템의... 이 모델을 활용한 <b>빅데이터</b>·인공지능 기반 자동예측진단시스템은 설비의 이상 징후를 사전에 탐지, 진단해... "
16,"한수원, <b>빅데이터</b>·AI 기반 '자동예측진단 시스템' 상품화",http://www.viva100.com/main/view.php?key=20211129010008232,"한수원, <b>빅데이터</b>·AI 기반 '자동예측진단 시스템' 상품화 한국수력원자력(이하 한수원)이 세계 최대 규모의 <b>빅데이터</b>·인공지능 기반 설비 자동예측진단시스템의 상품화에 나선다고 29일 밝혔다. 한수원은... "
17,"네이버클라우드, <b>데이터</b> 분석 특화 솔루션 2종 출시",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=029&aid=0002708460,네이버클라우드가 '클라우드 데이터 박스'와 '데이터 포레스트' 상품을 공식 출시했다고 29일 밝혔다. 클라우드 데이터 박스는 네이버 데이터를 <b>빅데이터</b> 분석 환경에서 다각도로 분석해 비즈니스 인사이트를 발굴할 수... 
18,"한수원, 원전 설비 자동예측진단시스템 상품화 추진",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202111291301271720367,"한국수력원자력이 세계 최대 규모의 <b>빅데이터</b>ㆍAI(인공지능) 기반 원전 설비 자동예측진단시스템의... <b>빅데이터</b>ㆍAI 기반 자동예측진단시스템을 구축했다. 또한, 시스템의 상품화 추진을 위해 ‘프로메테우스’로... "
19,"하반기 엔터 앱 트렌드 분석 결과 틱톡·쿠팡플레이 급상승, 네이버 계열인 웹...",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=076&aid=0003807374,NHN<b>데이터</b>가 29일 약 2800만개 안드로이드 기기의 광고 식별값(ADID)을 분석한 '2021년 하반기 앱 트렌드... NHN<b>데이터</b>는 4월 7일과 10월 19일 총 앱 설치 수를 각각 상반기와 하반기 기준으로 삼았다. 다만 앱별 설치 수... 
20,청년첨단농업지대 ‘전북 스마트팜 혁신밸리’ 전국 최초 준공,http://www.viva100.com/main/view.php?key=20211129010008227,"시설별 핵심기능은 스마트팜 창업보육 및 스마트팜 임대운영, 스마트팜 실증연구, <b>빅데이터</b> 수집·분석... 또한 스마트팜 실증온실과 <b>빅데이터</b> 센터를 통해 ICT 기자재 등을 개발·보급하고, <b>빅데이터</b>를 인공지능(AI)으로... "
21,"여수시, 전남도 지방세 체납액 줄이기 평가 '최우수상'",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003580244,"시는 지방세 체납액 줄이기 일제기간을 설정 운영해 <b>빅데이터</b>를 활용한 맞춤형 징수, 체납차량 번호판 영치 및 공매처분, 가상화폐 압류 등 체납액 징수활동을 추진해 정리목표액 39억8300만 원 대비 51억300만 원을... "
22,"여수시, 전남도 지방세 체납액 줄이기 평가 ‘최우수상’ 영예",http://www.viva100.com/main/view.php?key=20211129010008229,"시는 지방세 체납액 줄이기 일제기간을 설정 운영해 <b>빅데이터</b>를 활용한 맞춤형 징수, 체납차량 번호판 영치 및 공매처분, 가상화폐 압류 등 체납액 징수활동을 추진해 정리목표액 39억 8300만 원 대비 51억 300만 원을... "
23,의정부을지대병원 &quot;조직문화 개선을 위한 쇄신책 마련&quot; 外,http://www.newsmp.com/news/articleView.html?idxno=219498,"서울대병원 가정의학과 박상민 교수팀(박선재, 박영준 연구원)은 국민건강보험 <b>빅데이터</b>를 활용해, 40세... 박상민 교수는 &quot;이번 연구는 국민건강보험공단 건강검진 <b>빅데이터</b>를 활용하고 여러 변수를 고려해 연구의... "
24,"‘코그콤’, 오늘도 미래를 한걸음 앞당기고 있는 사람들",https://www.venturesquare.net/843665,"<b>빅데이터</b>를 수집/정리하여 원하는 내용을 추출하는 데이터베이스화 사업으로 그 시작을 알렸다. 이어 사람이 지식을 다루는 다양한 분야로 사업 확장 진행 중에 있다. 핵심 기술은 인공지능 자연어처리 기술, 전문... "
